id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license;ciudad
46000369;Apartamento entero zona centro, cerca de todo;363916857;Johan & Daniel;Centro;Embajadores;40.40872;-3.70339;Entire home/apt;106.0;1;176;2024-09-10;3.77;1;332;43;;madrid
939674688475476660;Encanto Celestial en Santa Úrsula;40877988;Raul;Latina;Puerta del Angel;40.41308;-3.72976;Entire home/apt;108.0;1;63;2024-09-04;5.45;124;250;63;;madrid
30762108;Apartment with terrace by Eric Vökel;228209924;Eric;Arganzuela;Palos de Moguer;40.40484619140625;-3.694457054138184;Entire home/apt;202.0;1;36;2024-05-25;0.59;5;334;3;;madrid
16050778;Luminous loft with parking 10min from IFEMA by car;27027308;Raul;Vicálvaro;Casco Histórico de Vicálvaro;40.40247;-3.59235;Entire home/apt;76.0;3;351;2024-09-05;3.79;1;321;43;;madrid
664459783275623541;1-YOUR DREAM_LUXURY_JACUZZl_Parking_ 8people;7976340;Pilar;Centro;Embajadores;40.40677609999999;-3.700786399999999;Entire home/apt;177.0;3;110;2024-08-16;4.21;8;144;44;;madrid
42431040;Habitación privada con baño en Madrid;119576140;Sandra;Tetuán;Cuatro Caminos;40.45277;-3.70131;Private room;49.0;2;135;2024-08-26;2.44;1;67;48;;madrid
759419948772454759;Cómoda habitación en Cuatro Caminos;486198743;Maria Mercedes;Tetuán;Cuatro Caminos;40.44856416486021;-3.702814020216465;Private room;179.0;1;3;2024-01-03;0.15;3;11;2;;madrid
917947150925969419;apartamentos reformados en vallecas;391810099;Nacho;Puente de Vallecas;San Diego;40.39192573960872;-3.667522531578393;Entire home/apt;96.0;1;3;2024-07-06;0.38;86;318;3;;madrid
1182707273297327769;apartamento de dos habitaciones en avenida de la a;391810099;Nacho;Puente de Vallecas;San Diego;40.39357;-3.66653;Entire home/apt;110.0;1;2;2024-07-07;0.82;86;350;2;;madrid
21889023;The  loft at RetiroPark with private patio;158792819;Alvaro;Retiro;Jerónimos;40.40682;-3.68691;Entire home/apt;205.0;2;279;2024-09-10;3.42;3;301;63;;madrid
1097814208246309658;Wakaflats 5, centro Madrid, Chueca, Hortaleza;563424961;Chema;Centro;Justicia;40.421286570452985;-3.70106250955042;Entire home/apt;50.0;28;4;2024-09-07;0.82;3;189;4;;madrid
700456972063385144;Modern and Cozy - 2 Bedrooms 1 Bathroom - Lavapiés;476492367;Fernando;Centro;Embajadores;40.40725;-3.70042;Entire home/apt;158.0;1;69;2024-08-20;2.9;1;220;31;;madrid
19553592;DISFRUTA DE TU ESPACIO. SERAS BIENVENIDO.;137372436;Susana Elizabeth;Fuencarral - El Pardo;Pilar;40.47481;-3.71279;Private room;47.0;1;108;2024-09-08;1.27;1;254;20;;madrid
1045500227242091389;Chueca 2 - Habitación doble con baño compartido;530854893;Jj Project;Centro;Universidad;40.42249347747701;-3.701128970850182;Private room;58.0;1;22;2024-09-05;2.81;4;69;22;;madrid
1071191856338512465;New Luxury Apartment Madrid Feria 110;557130632;Luis;San Blas - Canillejas;Rejas;40.44079;-3.56985;Entire home/apt;92.0;7;9;2024-09-08;1.64;8;203;9;;madrid
737027179950164213;Precioso apartamento de 2 habitaciones.;428688209;Diego;Ciudad Lineal;Pueblo Nuevo;40.42812244990898;-3.6451039463281623;Entire home/apt;150.0;1;65;2024-09-08;2.82;3;65;14;;madrid
44671914;Olala Maderas Apartment 1 | Balcony;129000409;Olala Homes;Puente de Vallecas;San Diego;40.39357;-3.66882;Entire home/apt;232.0;1;57;2024-07-17;1.22;47;334;15;;madrid
35574470;Renovated 2 bedroom apt next to Bernabeu Stadium;235248120;Isabelle;Chamartín;Hispanoamérica;40.45372;-3.6797;Entire home/apt;130.0;5;8;2024-08-16;0.13;1;36;2;;madrid
1024718459543106572;Cómoda Habitación en Ventas;531963518;Maria;Ciudad Lineal;Ventas;40.42513;-3.65699;Private room;30.0;1;14;2024-04-25;1.54;1;253;14;;madrid
1008790937921810452;Casa Del Oso, Madrid;533679118;Valeria;Ciudad Lineal;Pueblo Nuevo;40.43086;-3.64101;Entire home/apt;72.0;1;10;2024-08-12;0.99;1;61;10;;madrid
781954585735342847;Fantastic & Nice Loft in Retiro;291253690;Fran Y Marta Isabel;Retiro;Estrella;40.4096960567065;-3.6652540504928894;Entire home/apt;117.0;1;42;2024-08-31;2.39;322;339;35;VT-13569;madrid
1071204168883744197;New Luxury Apartment Madrid Airport 111;557130632;Luis;San Blas - Canillejas;Rejas;40.44262120362765;-3.56965737605954;Entire home/apt;79.0;5;7;2024-08-18;1.08;8;144;7;;madrid
823036996657623769;Precioso piso en P. Vallecas;29203908;Horacio;Puente de Vallecas;Palomeras Bajas;40.391520367538206;-3.655616865332048;Entire home/apt;100.0;1;21;2024-07-16;1.12;2;47;7;;madrid
52250229;Avenida America I apartment in Madrid;377605855;MIT House;Salamanca;Guindalera;40.44134;-3.66405;Entire home/apt;153.0;1;16;2024-08-11;0.67;312;97;8;500.2019.10519;madrid
1210952470197475405;Apartment with pool and garage | 10 min to Barajas;241645501;Sabático;San Blas - Canillejas;Rejas;40.44244;-3.58334;Entire home/apt;126.0;2;1;2024-08-19;1.0;3;352;1;;madrid
50025024;Avenida America Vii apartment in Madrid;377605855;MIT House;Salamanca;Guindalera;40.4418;-3.66422;Entire home/apt;108.0;1;20;2024-08-15;0.57;312;90;7;500.2019.10519;madrid
51537442;Piso en Arturo Soria;397099666;Pedro Manuel;Ciudad Lineal;San Juan Bautista;40.45317;-3.66092;Entire home/apt;145.0;2;57;2024-06-30;1.76;2;243;25;VT-4828;madrid
1020180615381177059;Premium Apartment Salamanca XI Renovated 2BR 2BH;217067249;Jorge;Salamanca;Castellana;40.43566195361733;-3.680164783624956;Entire home/apt;207.0;2;7;2024-09-02;0.76;80;6;7;;madrid
42855880;Madrid Atocha Private Room Blue;261529695;Maite;Retiro;Pacífico;40.40599;-3.68759;Private room;56.0;1;288;2024-09-07;5.47;4;5;100;;madrid
1127415239348822557;Perfilada para dormir en Madrid;62773757;Sergio;Ciudad Lineal;Colina;40.45681340157788;-3.661639346506065;Entire home/apt;165.0;1;1;2024-06-02;0.29;3;269;1;;madrid
10201661;CHUSPITA's TINIEST LIBRARY-CORRALA STUDIO LAVAPIÉS;26346310;Chuspita;Centro;Embajadores;40.40647;-3.70066;Entire home/apt;110.0;1;107;2024-06-16;1.06;1;81;11;;madrid
838883894112192644;Cosy and comfortable flat C;291253690;Fran Y Marta Isabel;Salamanca;Guindalera;40.43303254928456;-3.665246647609464;Entire home/apt;112.0;1;41;2024-07-08;2.35;322;328;16;;madrid
1067307581194060955;Charming Madrid Numancia IV;546279500;Raquel;Puente de Vallecas;Numancia;40.40363;-3.65788;Entire home/apt;95.0;1;16;2024-06-22;2.11;10;334;16;;madrid
1096249766739791379;Manzanares Apartments8;444912851;Duke;Arganzuela;Legazpi;40.384597586368976;-3.691098277689966;Entire home/apt;131.0;1;2;2024-06-16;0.31;131;100;2;;madrid
